"","Y_mean_mean","Y_pred_mean","Y_mean_cred_lower","Y_mean_cred_upper","Y_pred_cred_lower","Y_pred_cred_upper","dsid","x","dfnames"
"29",85.1632148908487,83.6501295749375,53.258765394359,120.218355644643,-196.916360777086,362.77124259714,1,132,"1Dg"
"30",85.1632148908487,87.0908364875941,53.258765394359,120.218355644643,-195.32876546419,369.730962760793,1,132,"1Dg"
"31",85.1632148908487,83.967961277317,53.258765394359,120.218355644643,-196.272355988779,364.418990919714,1,132,"1Dg"
"32",86.1082075243769,85.6764369752806,53.9635238894341,121.338495681113,-195.942021164815,365.659992667123,1,134,"1Dg"
"33",86.1082075243769,84.3816695303656,53.9635238894341,121.338495681113,-194.089807531152,367.243315825093,1,134,"1Dg"
"34",86.1082075243769,86.5975889428661,53.9635238894341,121.338495681113,-190.767099050783,367.899917616223,1,134,"1Dg"
"35",86.1082075243769,86.689179834438,53.9635238894341,121.338495681113,-195.48244531267,371.850209573483,1,134,"1Dg"
"36",87.5121458108828,86.5320858454683,55.0136586695671,123.011030065875,-192.06600935108,366.255151431084,1,137,"1Dg"
"37",87.5121458108828,87.7588610355543,55.0136586695671,123.011030065875,-190.35741015855,369.856240730355,1,137,"1Dg"
"38",87.5121458108828,88.6383926094231,55.0136586695671,123.011030065875,-194.329587606028,372.14113920896,1,137,"1Dg"
"39",87.9765567854798,87.3178184810755,55.3592368797456,123.5601338271,-189.009945181055,361.246309033152,1,138,"1Dg"
"40",87.9765567854798,85.5923663589332,55.3592368797456,123.5601338271,-194.292592684917,366.80741390177,1,138,"1Dg"
"41",87.9765567854798,88.3897191207107,55.3592368797456,123.5601338271,-190.198868144025,368.830861978492,1,138,"1Dg"
